Euphorbiaceae Acalypha,copperleaf,h,any,full sun,red,wet,3,6,5,Ello sphinx
Aceraceae Acer,maple,w,sandy clay,full sun,red,moist,16,20,256,Silver-spotted Skipper
Asteraceae Achillea,yarrow,h,clay,full sun,white,dry,2,6,11,Gorgone Checkerspot
Ranunculaceae Actaea,baneberry,h,any,partial shade,white,wet,3,6,3,Columbine Duskywing
Fabaceae Aeschynomene,shyleaf,h,any,full sun,white,moist,2,6,1,Silver-spotted Skipper
Orobanchaceae Agalinis,false foxglove,h,sandy,partial shade,purple,moist,5,6,4,common buckeye
Lamiaceae Agastache,hyssop,h,peaty,full sun,purple,dry,2,6,3,Silver-spotted Skipper
Asteraceae Ageratina,snakeroot,h,any,partial shade,white,moist,2,6,5,Gorgone Checkerspot
Rosaceae Agrimonia,agrimony,h,any,partial shade,yellow,moist,2,6,1,Coral Hairstreak
Poaceae Agrostis,bent grass,h,any,any,green,any,10,6,11,Wide-stripe Grass-veneer Moth
Alismataceae Alisma,water plantain,h,any,partial shade,green,wet,1,6,1,Black Swallowtail
Alliaceae Allium,onion,h,any,full sun,purple,moist,1,6,17,Black Swallowtail
Betulaceae Alnus,alder,w,any,any,green,wet,15,20,164,Mourning cloak butterfly
Poaceae Alopecurus,foxtail,h,any,full sun,yellow,wet,10,6,2,Wide-stripe Grass-veneer Moth
Amaranthaceae Amaranthus,pigweed,h,any,full sun,green,dry,0.5,6,31,Gorgone Checkerspot
Asteraceae Ambrosia,ragweed,h,any,full sun,yellow,dry,0.5,6,51,Gorgone Checkerspot
Rosaceae Amelanchier,serviceberry,w,sandy,full sun,white,moist,5,20,91,Coral Hairstreak
Poaceae Ammophila,beachgrass,h,sandy,full sun,green,dry,1,6,2,Wide-stripe Grass-veneer Moth
Fabaceae Amorpha,false indigo,h,any,full sun,purple,dry,1,6,23,Silver-spotted Skipper
Fabaceae Amphicarpaea,hogpeanut,h,loamy,full sun,green,moist,0.5,6,7,Silver-spotted Skipper
Asteraceae Anaphalis,pearly everlasting,h,sandy,full sun,white,dry,2,6,4,American Lady
Poaceae Andropogon,bluestem,h,sandy,full sun,red,dry,2,6,14,Wide-stripe Grass-veneer Moth
Ranunculaceae Anemone,anemone,h,peaty,partial shade,any,moist,1,6,2,cabbage moth
Apiaceae Angelica,angelica,h,clay,partial shade,green,moist,0.5,6,3,Black Swallowtail
Asteraceae Antennaria,pussytoes,h,loamy,full sun,white,dry,1,6,1,American Lady
Fabaceae Apios,groundnut,h,clay,full sun,brown,moist,3,6,4,Silver-spotted Skipper
Apocynaceae Apocynum,dogbane,h,sandy,full sun,pink,moist,20,6,14,Oregon Cycnia moth
Ranunculaceae Aquilegia,columbine,h,clay,partial shade,red,dry,2,6,11,cabbage moth
Brassicaceae Arabidopsis,mouseear cress,h,sandy,partial shade,white,dry,1,6,1,Falcate Orangetip butterfly
Araliaceae Aralia,devil's walkingstick,h,loamy,partial shade,white,moist,10,6,6,Eastern Tiger Swallowtail butterfly
Araceae Arisaema,jack-in-the-pulpit,h,sandy,partial shade,green,wet,5,6,1,Pink-Legged Tiger moth
Asteraceae Arnoglossum,cacalia,h,clay,full shade,white,moist,4,6,1,Wild Indigo Borer moth
Rosaceae Aronia,black chokeberry,w,sandy,full sun,white,moist,6,20,34,Coral Hairstreak
Aristolochiaceae Asarum,wildginger,h,loamy,partial shade,purple,moist,2,6,1,bold feathered grass moth
Asclepiadaceae Asclepias,milkweed,h,loamy,partial shade,any,dry,2,6,12,monarch butterfly
Annonaceae Asimina,pawpaw,w,loamy,full sun,brown,wet,15,20,12,Zebra Swallowtail butterfly
Athyriaceae Athyrium,ladyfern,h,loamy,full shade,green,moist,3,6,2,Ghostly Fern moth
Amaranthaceae Atriplex,saltbush,h,loamy,full sun,white,dry,7,6,6,common sootywing butterfly
Orobanchaceae Aureolaria,false foxglove,h,clay,full sun,pink,moist,3,6,6,common buckeye
Salviniaceae Azolla,mosquitofern,h,loamy,full sun,green,wet,0.5,6,1,Waterlily Leafcutter Moth
Asteraceae Baccharis,baccharis,h,loamy,full sun,white,wet,10,6,19,Hebrew Sonia moth
Fabaceae Baptisia,indigo,h,sandy,full sun,blue,dry,15,6,19,Polyphemus moth
Betulaceae Betula,birch,w,clay,full sun,green,moist,50,20,285,Mourning cloak butterfly
Asteraceae Bidens,beggers ticks,h,clay,full sun,yellow,moist,2,6,14,Viceroy butterfly
